DEPTH,LCAL,GR,RHOM,APLU,Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
4158.3864,8.5588,25.5584,2.5056,0.0643,0.84434,0.84225,0.84337,0.86608,0.86754,0.87015,64.9792,99.3127
4158.234,8.558,26.0392,2.5029,0.0702,0.84454,0.84196,0.84132,0.86631,0.86705,0.86833,65.0807,98.7291
4158.0816,8.5587,25.1958,2.5012,0.067,0.84478,0.84175,0.83866,0.86668,0.86665,0.86547,64.6286,99.9941
4157.9292,8.5575,24.219,2.5136,0.0707,0.84507,0.84174,0.83602,0.86723,0.86648,0.86227,66.5262,101.9516
4157.7768,8.5581,23.0271,2.5286,0.0706,0.84542,0.84206,0.83409,0.86797,0.86669,0.85956,66.9674,102.893
4157.6244,8.5585,23.2252,2.5298,0.066,0.84583,0.84281,0.83342,0.86892,0.86738,0.85812,67.7203,103.2273
4157.472,8.5587,22.1485,2.5263,0.064,0.84627,0.84404,0.83432,0.87005,0.86862,0.85845,67.2831,102.4738
4157.3196,8.5578,21.7775,2.5288,0.0633,0.84672,0.84574,0.83681,0.87133,0.87041,0.86074,68.2537,102.709
4157.1672,8.5598,21.4311,2.5193,0.0668,0.84716,0.84783,0.84069,0.87269,0.87266,0.86483,69.7447,104.8156
4157.0148,8.6445,21.7569,2.5004,0.0669,0.84752,0.85016,0.84556,0.87406,0.8752,0.87027,67.9386,107.1064
4156.8624,8.8756,22.9591,2.4678,0.07,0.84776,0.85255,0.85088,0.8753,0.87781,0.8764,70.0715,109.4013
4156.71,8.8851,23.2878,2.4535,0.0711,0.84779,0.85476,0.85607,0.87632,0.88023,0.88247,71.4851,113.7649
4156.5576,8.8442,24.0387,2.4497,0.0739,0.84757,0.85656,0.86049,0.87697,0.88218,0.88769,72.4262,122.0384
4156.4052,8.9265,21.8023,2.445,0.0743,0.84702,0.85773,0.86358,0.87715,0.88341,0.89138,71.564,124.2945
4156.2528,9.0393,22.4034,2.4471,0.0719,0.84611,0.85809,0.86494,0.87674,0.88373,0.89305,71.7899,122.6398
4156.1004,9.078,22.9868,2.4445,0.0663,0.84479,0.85755,0.86438,0.87569,0.88301,0.8925,71.0229,120.2649
4155.948,9.0164,26.0047,2.4463,0.064,0.84305,0.85605,0.86195,0.87396,0.88123,0.88977,70.1702,118.9108
4155.7956,8.9346,26.8365,2.4884,0.059,0.84091,0.8536,0.8579,0.87154,0.87842,0.88516,69.4433,115.3904
4155.6432,8.6849,25.9501,2.5253,0.0586,0.83839,0.85028,0.85258,0.86851,0.87471,0.87913,68.3563,113.3273
4155.4908,9.0162,23.3052,2.5376,0.062,0.83554,0.84622,0.84637,0.86492,0.87025,0.87217,68.3468,113.6398
4155.3384,9.4366,21.1315,2.5327,0.0723,0.83243,0.84158,0.83966,0.8609,0.86526,0.86476,68.6639,110.7786
4155.186,9.3923,21.0792,2.5584,0.075,0.82914,0.83653,0.83275,0.85658,0.85994,0.85733,67.9297,110.7953
4155.0336,9.2711,22.3397,2.5366,0.0692,0.82575,0.83125,0.82594,0.85209,0.85451,0.85017,67.0723,111.1221
4154.8812,9.0866,22.5481,2.5151,0.0643,0.82234,0.82593,0.81944,0.84759,0.84915,0.84352,66.3545,112.4874
4154.7288,9.346,22.1273,2.507,0.0658,0.81899,0.82074,0.81341,0.8432,0.84403,0.83753,65.7953,112.0998
4154.5764,9.1626,21.1673,2.5255,0.0681,0.81578,0.81581,0.80794,0.83905,0.83928,0.83228,65.7602,112.4196
4154.424,9.124,20.8131,2.4987,0.0697,0.81278,0.81129,0.80308,0.83525,0.83501,0.82781,65.7982,111.703
4154.2716,9.4361,20.1344,2.4554,0.0696,0.81004,0.80727,0.79885,0.83187,0.8313,0.82413,66.0484,108.6083
4154.1192,9.532,19.7738,2.4203,0.0642,0.80761,0.80384,0.79523,0.82899,0.8282,0.8212,66.231,105.6572
4153.9668,9.4025,20.9609,2.4491,0.0637,0.80552,0.80105,0.79226,0.82665,0.82574,0.81897,65.906,105.6381
4153.8144,9.0426,23.2909,2.4829,0.0643,0.8038,0.79894,0.78996,0.82486,0.82394,0.81737,66.3715,105.0068
4153.662,9.0257,24.8449,2.4691,0.0693,0.80244,0.79753,0.78842,0.82362,0.82278,0.81633,65.5559,104.238
4153.5096,9.1681,24.692,2.4578,0.0735,0.80144,0.79682,0.78774,0.82291,0.82225,0.81583,66.0884,102.5358
4153.3572,9.036,23.4085,2.493,0.081,0.80078,0.79676,0.78802,0.82267,0.82233,0.81593,65.6949,99.9206
4153.2048,8.9004,22.8162,2.4872,0.0841,0.80043,0.79729,0.78934,0.82285,0.82294,0.81671,66.2627,99.6691
4153.0524,9.4458,23.45,2.4635,0.0869,0.80034,0.79831,0.79172,0.82337,0.824,0.81828,65.0688,100.9948
4152.9,9.766,23.8073,2.4419,0.0822,0.80046,0.79969,0.795,0.82413,0.82541,0.82069,65.6999,101.5174
4152.7476,9.8928,27.0214,2.4567,0.0813,0.80074,0.80128,0.79889,0.82505,0.82702,0.82383,65.9462,102.0676
4152.5952,9.7987,31.3493,2.4707,0.084,0.80111,0.80291,0.80293,0.82603,0.8287,0.82742,66.3081,102.6237
4152.4428,9.3937,32.0421,2.4561,0.0917,0.80152,0.80443,0.80659,0.82697,0.83028,0.83101,66.4737,102.8274
4152.2904,9.7343,26.9116,2.3868,0.0864,0.80192,0.80568,0.80936,0.82779,0.83161,0.83404,66.2955,101.9346
4152.138,11.0389,21.4399,2.3966,0.0739,0.80225,0.80655,0.81091,0.82844,0.83258,0.83605,67.466,99.273
4151.9856,11.3767,20.0397,2.4068,0.0689,0.80249,0.80698,0.81115,0.82884,0.8331,0.83677,67.5703,96.2027
4151.8332,11.2727,20.3331,2.3239,0.0665,0.80262,0.80695,0.81023,0.82899,0.83316,0.83623,68.1942,99.5654
4151.6808,11.1196,21.3567,2.2007,0.0691,0.80261,0.80648,0.80852,0.82886,0.83275,0.83472,68.4371,97.94
4151.5284,10.8568,21.1343,2.1632,0.0719,0.80248,0.80563,0.80644,0.82846,0.83193,0.83269,68.977,98.3027
4151.376,10.482,22.314,2.2606,0.0799,0.80222,0.80447,0.80438,0.82782,0.83078,0.83058,69.6666,100.7169
4151.2236,10.59,23.3077,2.3127,0.0937,0.80187,0.8031,0.80257,0.82699,0.82937,0.82868,67.4897,101.1792
4151.0712,10.1634,32.1648,2.3756,0.097,0.80144,0.80159,0.80103,0.82602,0.82779,0.82708,68.8431,101.7092
4150.9188,10.518,51.603,2.3668,0.0897,0.80098,0.80002,0.79964,0.82497,0.82612,0.82567,68.4031,103.1171
4150.7664,10.4065,89.5219,2.4065,0.0778,0.80053,0.79847,0.79814,0.82392,0.82443,0.82419,69.6311,100.8309
4150.614,10.304,129.3699,2.3297,0.0759,0.80012,0.797,0.79633,0.82293,0.8228,0.8224,67.9176,107.7537
4150.4616,9.979,159.6248,2.2629,0.0954,0.79981,0.7957,0.7941,0.82209,0.82132,0.82015,68.0647,113.4924
4150.3092,9.8198,174.1521,2.3472,0.1163,0.79963,0.79468,0.79156,0.82144,0.8201,0.81755,67.1739,122.0633
4150.1568,8.7155,179.2703,2.503,0.1317,0.79962,0.79404,0.78907,0.82105,0.81924,0.8149,67.5296,126.2732
4150.0044,8.4516,177.8082,2.7143,0.1257,0.79981,0.79385,0.78709,0.82097,0.81883,0.81271,69.1621,134.959
4149.852,8.4525,171.3397,2.738,0.1299,0.80019,0.79421,0.78613,0.8212,0.81895,0.81147,68.344,135.2821
4149.6996,8.4523,165.1239,2.7174,0.1299,0.80077,0.79515,0.78654,0.82176,0.81966,0.81159,68.7115,133.5303
4149.5472,8.4523,160.8101,2.7346,0.1331,0.80152,0.79667,0.78842,0.82262,0.82093,0.81324,69.7452,127.0505
4149.3948,8.4514,158.7023,2.7957,0.1246,0.80242,0.7987,0.79162,0.82374,0.82272,0.81632,69.171,124.2584
4149.2424,8.4504,156.6494,2.8286,0.1268,0.80342,0.80113,0.7958,0.82505,0.82492,0.82046,67.9755,120.0678
4149.09,8.4411,159.9165,2.7903,0.121,0.80445,0.80381,0.8005,0.82646,0.82737,0.82517,67.2841,117.128
4148.9376,8.4417,158.0496,2.7383,0.123,0.80545,0.80653,0.80529,0.8279,0.82988,0.82991,66.7814,116.1593
4148.7852,8.4457,155.4383,2.727,0.1182,0.80637,0.80911,0.80985,0.82924,0.83225,0.83421,66.2655,113.905
4148.6328,8.4482,153.338,2.7227,0.1136,0.80713,0.81134,0.8139,0.8304,0.8343,0.83775,65.981,115.4949
4148.4804,8.451,156.153,2.7207,0.1028,0.80768,0.81306,0.81721,0.8313,0.83586,0.8403,66.0448,115.8689
4148.328,8.4501,167.7659,2.7235,0.1012,0.80799,0.81415,0.81952,0.83186,0.83681,0.84172,66.3501,115.925
