DEPTH,LCAL,GR,RHOM,APLC,APLU
4121.2008,9.2498,31.9859,2.5674,0.0867,0.1201
4121.0484,9.1032,26.9421,2.5235,0.0738,0.1034
4120.896,9.1272,24.6486,2.5047,0.0785,0.1011
4120.7436,9.0869,24.3869,2.5056,0.0693,0.0869
4120.5912,9.4324,24.6238,2.5114,0.0608,0.074
4120.4388,9.0182,28.2304,2.503,0.0557,0.067
4120.2864,8.8774,34.2871,2.4818,0.0587,0.0687
4120.134,8.8769,47.6685,2.4704,0.0694,0.0786
4119.9816,8.8207,47.7812,2.5088,0.0694,0.0796
4119.8292,8.8117,42.8277,2.4999,0.0727,0.0877
4119.6768,8.8116,30.1076,2.4941,0.0927,0.1107
4119.5244,9.0667,27.6134,2.5061,0.092,0.1104
4119.372,9.0031,29.2965,2.5331,0.0641,0.087
4119.2196,9.1221,37.4415,2.5351,0.0414,0.0731
4119.0672,9.1509,49.7918,2.5297,0.0498,0.0827
4118.9148,9.0465,60.6869,2.554,0.08,0.1119
