Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
0.82543,0.82389,0.80675,0.85351,0.85245,0.83996,66.3475,109.559
0.82604,0.82701,0.81151,0.85532,0.85592,0.84532,65.6669,110.0284
0.82645,0.8304,0.81869,0.85716,0.85975,0.85298,66.9979,111.3634
0.82658,0.83376,0.82776,0.85887,0.86358,0.86253,66.8457,110.2923
0.82636,0.83672,0.83741,0.86029,0.86698,0.87278,65.5678,105.0697
0.82571,0.83894,0.84579,0.86125,0.86953,0.88187,65.9751,102.7001
0.82461,0.84012,0.85103,0.8616,0.87089,0.88768,64.6159,100.0636
0.82302,0.84007,0.85204,0.86122,0.87084,0.8887,65.9341,96.5614
0.82096,0.83875,0.8489,0.86004,0.86932,0.88467,66.1263,94.8521
0.81845,0.83626,0.84273,0.85802,0.86646,0.8767,66.1787,93.934
0.81554,0.83279,0.83522,0.85519,0.86249,0.86673,66.6493,99.396
0.81227,0.8286,0.82786,0.85159,0.8577,0.85676,67.4618,105.6539
0.80871,0.82392,0.82155,0.8473,0.85237,0.8482,68.1314,122.7238
0.80489,0.81894,0.81654,0.84242,0.84675,0.84159,67.0684,129.9103
0.80086,0.81376,0.81256,0.83704,0.84095,0.83671,66.3886,132.7978
0.79665,0.80842,0.80904,0.83128,0.83501,0.83285,68.0158,137.8466
0.7923,0.80287,0.8053,0.82523,0.82893,0.82911,66.3466,128.3424
0.78785,0.79707,0.80078,0.81901,0.82263,0.82469,66.6504,120.5415
0.78335,0.79098,0.79497,0.81273,0.81609,0.81902,66.515,115.3068
0.77886,0.7846,0.7877,0.8065,0.80931,0.81188,64.224,109.9117
0.77445,0.77802,0.77905,0.80044,0.80239,0.80342,64.8263,107.9911
0.77021,0.77136,0.76944,0.79467,0.79547,0.79409,64.6524,106.1918
0.76623,0.76484,0.75945,0.78931,0.78879,0.78451,66.5345,107.6949
0.76261,0.75871,0.74979,0.7845,0.78261,0.77538,67.7892,107.9735
0.75944,0.75321,0.74113,0.78033,0.77718,0.76731,67.4475,107.8217
0.75681,0.74857,0.73405,0.7769,0.77273,0.7608,67.886,106.2184
0.75477,0.74497,0.72893,0.77429,0.76943,0.75621,66.9392,104.478
0.75336,0.74254,0.72601,0.77254,0.76741,0.75375,67.0917,103.7619
0.75262,0.74133,0.7254,0.77166,0.76669,0.75354,67.0323,103.0485
0.75251,0.74132,0.72703,0.77163,0.76722,0.75558,66.6326,102.8699
0.75301,0.7424,0.73067,0.77241,0.76887,0.7597,66.7561,101.7255
0.75406,0.74441,0.73586,0.77392,0.77146,0.76546,66.6073,103.0395
0.7556,0.74712,0.74193,0.77608,0.77475,0.77213,68.1749,99.3303
0.75754,0.75033,0.7481,0.77877,0.77852,0.77882,67.7537,100.0497
0.75981,0.75382,0.75366,0.78187,0.78256,0.78467,67.8477,98.6281
0.76234,0.75742,0.75817,0.78527,0.78668,0.78918,70.3763,106.5893
0.76504,0.761,0.76159,0.78885,0.79078,0.79236,69.8944,107.0104
0.76788,0.76449,0.76437,0.79249,0.79476,0.79483,70.2402,102.0964
0.77079,0.76785,0.76718,0.7961,0.7986,0.7975,70.257,108.0501
0.77375,0.77104,0.77066,0.7996,0.80224,0.80121,69.0677,108.3969
0.77672,0.77405,0.77511,0.80293,0.80567,0.80635,68.5009,109.3544
0.77969,0.77686,0.78031,0.80603,0.80881,0.81265,66.9915,111.8277
0.78265,0.77945,0.78558,0.80889,0.8116,0.81916,69.1622,117.2817
0.7856,0.7818,0.78997,0.81152,0.81401,0.82457,68.1024,124.4502
0.78857,0.78393,0.79268,0.81393,0.81601,0.8277,68.2998,137.069
0.79157,0.78588,0.79339,0.81617,0.81762,0.82799,68.8959,144.7196
0.79462,0.78777,0.79239,0.81831,0.81894,0.82576,70.4809,130.8421
0.79777,0.78975,0.79047,0.82041,0.82015,0.82203,67.1223,124.5907
0.80102,0.792,0.78869,0.82255,0.82144,0.81814,67.0091,121.445
0.80439,0.79471,0.78799,0.82479,0.82305,0.8153,66.4216,119.5369
0.80788,0.79805,0.78908,0.82719,0.82518,0.81435,66.6913,112.9489
